date,percentage_change,constraining,litigious,negative,positive,superfluous,uncertainty,sentiment,p1_percentage_change,p2_percentage_change,p3_percentage_change,p4_percentage_change
14/08/2018,-0.048770532,0,0,2,5,0,0,3,0.056432736,-0.009468279,0.019908567,-0.005819462
15/08/2018,0.056432736,0,0,0,2,0,0,2,-0.009468279,0.019908567,-0.005819462,-0.002977517
16/08/2018,-0.009468279,0,0,0,2,0,1,2,0.019908567,-0.005819462,-0.002977517,-0.002735491
17/08/2018,0.019908567,0,3,7,1,0,0,-6,-0.005819462,-0.002977517,-0.002735491,0.000543596
18/08/2018,-0.005819462,0,0,0,0,0,0,0,-0.002977517,-0.002735491,0.000543596,0.020658049
19/08/2018,-0.002977517,0,0,0,0,0,0,0,-0.002735491,0.000543596,0.020658049,-0.016177796
20/08/2018,-0.002735491,0,0,0,0,0,0,0,0.000543596,0.020658049,-0.016177796,0.01947235
21/08/2018,0.000543596,0,0,0,1,0,0,1,0.020658049,-0.016177796,0.01947235,0.022141087
22/08/2018,0.020658049,1,0,2,2,0,0,0,-0.016177796,0.01947235,0.022141087,-0.00777837
23/08/2018,-0.016177796,0,0,0,0,0,0,0,0.01947235,0.022141087,-0.00777837,0.011804115
24/08/2018,0.01947235,0,0,0,1,0,0,1,0.022141087,-0.00777837,0.011804115,0.037425784
25/08/2018,0.022141087,0,0,1,0,0,0,-1,-0.00777837,0.011804115,0.037425784,0.004720453
26/08/2018,-0.00777837,0,0,0,0,0,0,0,0.011804115,0.037425784,0.004720453,-0.018180375
27/08/2018,0.011804115,1,2,2,0,0,0,-2,0.037425784,0.004720453,-0.018180375,0.010373926
28/08/2018,0.037425784,0,0,0,0,0,0,0,0.004720453,-0.018180375,0.010373926,0.024945226
29/08/2018,0.004720453,0,0,0,0,0,0,0,-0.018180375,0.010373926,0.024945226,0.011970803
30/08/2018,-0.018180375,0,0,2,0,0,0,-2,0.010373926,0.024945226,0.011970803,0.001722307
31/08/2018,0.010373926,0,0,0,0,0,0,0,0.024945226,0.011970803,0.001722307,0.00990675
01/09/2018,0.024945226,0,0,0,0,0,0,0,0.011970803,0.001722307,0.00990675,-0.044355891
02/09/2018,0.011970803,0,0,2,2,0,0,0,0.001722307,0.00990675,-0.044355891,-0.094593298
03/09/2018,0.001722307,0,1,1,0,0,0,-1,0.00990675,-0.044355891,-0.094593298,0.003078114
04/09/2018,0.00990675,0,0,0,0,0,0,0,-0.044355891,-0.094593298,0.003078114,-0.024275748
05/09/2018,-0.044355891,0,0,0,0,0,0,0,-0.094593298,0.003078114,-0.024275748,0.001068266
06/09/2018,-0.094593298,0,0,0,0,0,0,0,0.003078114,-0.024275748,0.001068266,-0.00052705
07/09/2018,0.003078114,0,0,0,0,0,0,0,-0.024275748,0.001068266,-0.00052705,4.30E-05
08/09/2018,-0.024275748,0,2,0,0,0,0,0,0.001068266,-0.00052705,4.30E-05,-0.002694302
09/09/2018,0.001068266,0,2,0,0,0,0,0,-0.00052705,4.30E-05,-0.002694302,0.029766507
10/09/2018,-0.00052705,0,1,7,3,0,4,-4,4.30E-05,-0.002694302,0.029766507,0.004932981
11/09/2018,4.30E-05,0,0,0,0,0,1,0,-0.002694302,0.029766507,0.004932981,0.00411458
