date,open,high,low,close,volume,market_cap,symbol
"May 12, 2019",0.075145,0.076754,0.068444,0.070086,141023789,1817119315,ADA
"May 11, 2019",0.063355,0.078432,0.06301,0.075171,187252193,1948954438,ADA
"May 10, 2019",0.061695,0.064837,0.059106,0.063428,87926146,1644492023,ADA
"May 09, 2019",0.064606,0.065069,0.060437,0.061691,60306853,1599479075,ADA
"May 08, 2019",0.064017,0.06499,0.062168,0.064606,40605280,1675057091,ADA
"May 07, 2019",0.066759,0.068643,0.064036,0.064036,53650714,1660270104,ADA
"May 06, 2019",0.066164,0.068471,0.063682,0.06678,60289464,1731421229,ADA
"May 05, 2019",0.066907,0.067966,0.065709,0.066146,49098473,1714978394,ADA
"May 04, 2019",0.069858,0.071954,0.065832,0.06688,75467767,1734006640,ADA
"May 03, 2019",0.068575,0.071937,0.067652,0.069858,77726744,1811204684,ADA
"May 02, 2019",0.06902,0.06971,0.068278,0.068579,55122571,1778049850,ADA
"May 01, 2019",0.070338,0.07077,0.067533,0.069014,58865338,1789340578,ADA
"Apr 30, 2019",0.064661,0.070346,0.064661,0.070346,62990602,1823858101,ADA
"Apr 29, 2019",0.06862,0.06897,0.064204,0.064631,69287156,1675705398,ADA
"Apr 28, 2019",0.070189,0.070646,0.06802,0.068591,42979831,1778363782,ADA
"Apr 27, 2019",0.069211,0.071602,0.068274,0.070196,50161507,1819967619,ADA
"Apr 26, 2019",0.069347,0.070828,0.066881,0.069219,83227768,1794657446,ADA
"Apr 25, 2019",0.072643,0.07603,0.068668,0.069244,96537994,1795286337,ADA
"Apr 24, 2019",0.074524,0.07584,0.068737,0.072645,90318024,1883467318,ADA
"Apr 23, 2019",0.078067,0.080333,0.074321,0.074524,100698845,1932178857,ADA
"Apr 22, 2019",0.074101,0.079376,0.072221,0.07804,90476347,2023336836,ADA
"Apr 21, 2019",0.076556,0.077978,0.071989,0.074106,89301952,1921361012,ADA
"Apr 20, 2019",0.079515,0.079515,0.075401,0.076506,77410325,1983585079,ADA
"Apr 19, 2019",0.081739,0.081782,0.07821,0.0795,82646736,2061207560,ADA
"Apr 18, 2019",0.083066,0.083883,0.081377,0.081775,70016366,2120197588,ADA
"Apr 17, 2019",0.083785,0.08456,0.082078,0.083074,66210753,2153869869,ADA
"Apr 16, 2019",0.082265,0.08386,0.080451,0.083783,65962870,2172245015,ADA
"Apr 15, 2019",0.084643,0.085634,0.08136,0.082307,73555913,2133983896,ADA
"Apr 14, 2019",0.083731,0.085479,0.081372,0.084643,82514758,2194550264,ADA
"Apr 13, 2019",0.083485,0.085507,0.082907,0.083731,71755836,2170900032,ADA
"Apr 12, 2019",0.083584,0.085376,0.080397,0.083463,110371615,2163952243,ADA
"Apr 11, 2019",0.089929,0.090716,0.077629,0.083385,163656338,2161932600,ADA
"Apr 10, 2019",0.083779,0.092479,0.083535,0.089964,131422302,2332498044,ADA
"Apr 09, 2019",0.086989,0.087018,0.081707,0.083749,122878696,2171369401,ADA
"Apr 08, 2019",0.090466,0.091622,0.083341,0.087009,134978650,2255876188,ADA
"Apr 07, 2019",0.090161,0.091286,0.088536,0.090484,100804121,2345996894,ADA
"Apr 06, 2019",0.091214,0.093681,0.087901,0.090289,114652738,2340932226,ADA
"Apr 05, 2019",0.087355,0.092228,0.087342,0.091226,122685904,2365234817,ADA
"Apr 04, 2019",0.090518,0.094088,0.083283,0.08737,182769802,2265240087,ADA
"Apr 03, 2019",0.085437,0.099958,0.08484,0.090723,300935985,2352181939,ADA
"Apr 02, 2019",0.07231,0.085467,0.070908,0.085467,201276068,2215912840,ADA
"Apr 01, 2019",0.069651,0.072756,0.069019,0.07233,81836247,1875296477,ADA
"Mar 31, 2019",0.071739,0.072125,0.069393,0.069746,67772020,1808312387,ADA
"Mar 30, 2019",0.071257,0.073712,0.068405,0.071739,94907668,1859991057,ADA
"Mar 29, 2019",0.065763,0.072777,0.065763,0.071289,125904170,1848311707,ADA
"Mar 28, 2019",0.067593,0.067593,0.065003,0.065828,78259560,1706724371,ADA
"Mar 27, 2019",0.062232,0.068331,0.061273,0.067595,113386031,1752535163,ADA
"Mar 26, 2019",0.059206,0.06237,0.059131,0.06237,79200006,1617074185,ADA
"Mar 25, 2019",0.06185,0.06185,0.057534,0.059025,74748665,1530346052,ADA
"Mar 24, 2019",0.063723,0.064347,0.059715,0.061704,102441666,1599795321,ADA
"Mar 23, 2019",0.057993,0.064727,0.057047,0.063781,137854804,1653644986,ADA
"Mar 22, 2019",0.052906,0.059172,0.052668,0.058062,119817467,1505389455,ADA
"Mar 21, 2019",0.053957,0.054958,0.050767,0.0529,66543590,1371535198,ADA
"Mar 20, 2019",0.052719,0.053923,0.051366,0.053891,47370106,1397240955,ADA
"Mar 19, 2019",0.050457,0.053691,0.049756,0.052594,46089908,1363600697,ADA
"Mar 18, 2019",0.050311,0.051134,0.049668,0.050452,37198857,1308074595,ADA
