Date,Price,Open,High,Low,Vol.,Change %
"Dec 26, 2013",80.653,80.675,80.71,80.595,7.23K,-0.03%
"Dec 24, 2013",80.674,80.655,80.78,80.63,5.61K,0.07%
"Dec 23, 2013",80.617,80.75,80.75,80.46,18.04K,-0.16%
"Dec 20, 2013",80.75,80.89,81.005,80.56,23.82K,-0.05%
"Dec 19, 2013",80.788,80.675,80.835,80.62,21.72K,0.67%
"Dec 18, 2013",80.248,80.21,80.715,79.5,35.10K,0.04%
"Dec 17, 2013",80.214,80.275,80.445,80.135,12.53K,0.21%
"Dec 16, 2013",80.045,80.165,80.175,79.92,1.09K,-0.22%
"Dec 13, 2013",80.22,80.22,80.42,80.15,12.71K,0.01%
"Dec 12, 2013",80.208,79.965,80.25,79.85,22.43K,0.40%
"Dec 11, 2013",79.89,79.99,80.055,79.755,29.72K,-0.09%
"Dec 10, 2013",79.964,80.155,80.16,79.835,24.11K,-0.22%
"Dec 09, 2013",80.14,80.23,80.33,80.12,15.63K,-0.22%
"Dec 06, 2013",80.315,80.305,80.64,80.22,22.55K,0.09%
"Dec 05, 2013",80.241,80.675,80.845,80.23,33.75K,-0.48%
"Dec 04, 2013",80.628,80.675,80.93,80.545,23.06K,0.01%
"Dec 03, 2013",80.618,80.95,81.015,80.51,17.51K,-0.40%
"Dec 02, 2013",80.942,80.685,80.99,80.51,19.88K,0.35%
"Nov 29, 2013",80.657,80.565,80.695,80.495,9.81K,-0.11%
"Nov 28, 2013",80.747,80.745,80.755,80.555,2.84K,0.00%
"Nov 27, 2013",80.747,80.69,80.815,80.5,16.93K,0.14%
"Nov 26, 2013",80.638,80.83,80.94,80.62,21.77K,-0.40%
"Nov 25, 2013",80.963,80.72,81.06,80.67,14.88K,0.27%
"Nov 22, 2013",80.742,81.04,81.135,80.685,14.67K,-0.46%
"Nov 21, 2013",81.117,81.19,81.335,81,17.61K,-0.07%
"Nov 20, 2013",81.172,80.62,81.2,80.56,31.44K,0.53%
"Nov 19, 2013",80.744,80.74,80.875,80.605,14.42K,-0.10%
"Nov 18, 2013",80.826,80.875,80.965,80.6,13.75K,-0.09%
"Nov 15, 2013",80.898,81.11,81.21,80.835,14.95K,-0.23%
"Nov 14, 2013",81.086,80.865,81.27,80.855,18.55K,0.13%
"Nov 13, 2013",80.983,81.22,81.35,80.8,20.98K,-0.33%
"Nov 12, 2013",81.252,81.19,81.545,81.08,21.32K,0.06%
"Nov 11, 2013",81.2,81.38,81.42,81.13,15.26K,-0.23%
"Nov 08, 2013",81.387,80.955,81.58,80.79,32.56K,0.66%
"Nov 07, 2013",80.854,80.625,81.565,80.52,42.95K,0.37%
"Nov 06, 2013",80.559,80.785,80.8,80.455,14.70K,-0.28%
"Nov 05, 2013",80.787,80.63,80.895,80.575,15.13K,0.18%
"Nov 04, 2013",80.64,80.81,81.025,80.61,17.47K,-0.21%
"Nov 01, 2013",80.81,80.33,80.87,80.32,31.32K,0.68%
"Oct 31, 2013",80.263,79.82,80.355,79.74,26.16K,0.53%
"Oct 30, 2013",79.837,79.7,79.975,79.485,16.31K,0.21%
"Oct 29, 2013",79.67,79.385,79.74,79.34,18.07K,0.46%
"Oct 28, 2013",79.306,79.3,79.445,79.205,10.85K,0.08%
"Oct 25, 2013",79.246,79.255,79.38,79.06,11.62K,0.00%
"Oct 24, 2013",79.245,79.355,79.375,79.135,13.68K,-0.11%
"Oct 23, 2013",79.329,79.31,79.44,79.19,13.44K,0.05%
"Oct 22, 2013",79.29,79.785,79.86,79.235,20.37K,-0.58%
"Oct 21, 2013",79.751,79.73,79.875,79.68,11.06K,0.03%
"Oct 18, 2013",79.727,79.77,79.82,79.55,12.86K,0.01%
"Oct 17, 2013",79.718,80.635,80.65,79.68,26.22K,-1.05%
"Oct 16, 2013",80.563,80.585,80.85,80.37,18.32K,0.00%
"Oct 15, 2013",80.561,80.445,80.8,80.34,25.39K,0.31%
"Oct 14, 2013",80.311,80.385,80.475,80.2,10.07K,-0.18%
"Oct 11, 2013",80.452,80.58,80.625,80.34,14.42K,-0.08%
"Oct 10, 2013",80.517,80.5,80.685,80.395,16.00K,0.06%
"Oct 09, 2013",80.466,79.97,80.865,79.95,29.22K,0.42%
"Oct 08, 2013",80.132,80,80.17,79.915,15.81K,0.13%
"Oct 07, 2013",80.026,80.2,80.235,79.97,13.14K,-0.24%
"Oct 04, 2013",80.22,79.85,80.285,79.78,14.31K,0.47%
"Oct 03, 2013",79.846,79.935,80.02,79.72,15.64K,-0.18%
"Oct 02, 2013",79.989,80.29,80.38,79.875,20.80K,-0.33%
"Oct 01, 2013",80.25,80.35,80.41,79.955,28.64K,-0.09%
"Sep 30, 2013",80.323,80.46,80.49,80.115,16.35K,-0.07%
"Sep 27, 2013",80.377,80.65,80.7,80.205,17.03K,-0.32%
"Sep 26, 2013",80.638,80.485,80.76,80.405,17.85K,0.24%
"Sep 25, 2013",80.443,80.69,80.74,80.395,19.24K,-0.31%
"Sep 24, 2013",80.69,80.57,80.745,80.52,15.62K,0.15%
"Sep 23, 2013",80.571,80.47,80.645,80.395,14.78K,0.03%
"Sep 20, 2013",80.549,80.45,80.685,80.405,22.69K,0.09%
"Sep 19, 2013",80.48,80.285,80.56,80.155,36.22K,0.14%
"Sep 18, 2013",80.367,81.3,81.37,80.17,48.16K,-1.14%
"Sep 17, 2013",81.295,81.42,81.505,81.245,13.01K,0.28%
"Sep 16, 2013",81.072,81.16,81.19,81.005,0.61K,-0.46%
