date,median-confirmation-time
28/08/2019,6.6
29/08/2019,6.216666667
30/08/2019,6.508333333
31/08/2019,5.191666667
01/09/2019,5.983333333
02/09/2019,7.2
03/09/2019,7.766666667
04/09/2019,10.15
05/09/2019,6.35
06/09/2019,7.341666667
07/09/2019,6.366666667
08/09/2019,3.366666667
09/09/2019,9.4375
10/09/2019,6.483333333
11/09/2019,4.975
12/09/2019,6.708333333
13/09/2019,7.325
14/09/2019,5.733333333
15/09/2019,5.325
16/09/2019,6.916666667
17/09/2019,7.841666667
18/09/2019,5.404166667
19/09/2019,7.954166667
20/09/2019,6.666666667
21/09/2019,5.358333333
22/09/2019,4.416666667
23/09/2019,12.06666667
24/09/2019,7.85
25/09/2019,7.545833333
26/09/2019,6.266666667
27/09/2019,10.27083333
28/09/2019,5.266666667
29/09/2019,7.05
30/09/2019,10.88333333
01/10/2019,9.183333333
02/10/2019,7.566666667
03/10/2019,7.666666667
04/10/2019,6.083333333
05/10/2019,5.6
06/10/2019,5.15
07/10/2019,6.566666667
08/10/2019,6.258333333
09/10/2019,9.483333333
10/10/2019,6.041666667
11/10/2019,6.691666667
12/10/2019,7.666666667
13/10/2019,6.333333333
14/10/2019,8.933333333
15/10/2019,7.85
16/10/2019,7.35
17/10/2019,7.529166667
18/10/2019,6.191666667
19/10/2019,7.345833333
20/10/2019,5.375
21/10/2019,6.566666667
22/10/2019,6.55
23/10/2019,6.1625
24/10/2019,10.56666667
25/10/2019,8.6125
26/10/2019,12.10833333
27/10/2019,10.83333333
28/10/2019,9.954166667
29/10/2019,10.225
30/10/2019,9.733333333
31/10/2019,9.916666667
01/11/2019,10.975
02/11/2019,7.283333333
03/11/2019,7.883333333
04/11/2019,10.1
05/11/2019,9.1
06/11/2019,9.570833333
07/11/2019,10.075
08/11/2019,10.1625
09/11/2019,7.858333333
10/11/2019,4.491666667
11/11/2019,7.7
12/11/2019,10.6
13/11/2019,10.18333333
14/11/2019,5.266666667
15/11/2019,7.004166667
16/11/2019,6.558333333
17/11/2019,5.091666667
18/11/2019,8.925
19/11/2019,9.716666667
20/11/2019,8.166666667
21/11/2019,9.416666667
22/11/2019,9.195833333
23/11/2019,4.666666667
24/11/2019,7.216666667
25/11/2019,9.133333333
26/11/2019,13.24166667
27/11/2019,8.5
28/11/2019,6.083333333
29/11/2019,9.741666667
30/11/2019,6.045833333
01/12/2019,6.066666667
02/12/2019,7.6
03/12/2019,6.1
04/12/2019,7.675
05/12/2019,7.716666667
06/12/2019,8.266666667
07/12/2019,6.616666667
08/12/2019,5.058333333
09/12/2019,7.041666667
10/12/2019,8.85
11/12/2019,8.833333333
12/12/2019,9.25
13/12/2019,7.533333333
14/12/2019,6.216666667
15/12/2019,8.608333333
16/12/2019,7.416666667
17/12/2019,9.4
18/12/2019,9.816666667
19/12/2019,7.533333333
20/12/2019,7.4625
21/12/2019,4.558333333
22/12/2019,4.75
23/12/2019,8.25
24/12/2019,9.816666667
25/12/2019,6.991666667
26/12/2019,5.233333333
27/12/2019,7.766666667
28/12/2019,6.4
29/12/2019,5.466666667
30/12/2019,6.104166667
31/12/2019,7.475
01/01/2020,3.65
02/01/2020,7.133333333
03/01/2020,7.166666667
04/01/2020,4.966666667
05/01/2020,5.741666667
06/01/2020,10.6
07/01/2020,6.958333333
08/01/2020,8.891666667
09/01/2020,7.35
10/01/2020,8.1
11/01/2020,5.866666667
12/01/2020,6.116666667
13/01/2020,7.333333333
14/01/2020,10.35833333
15/01/2020,8.083333333
16/01/2020,6.716666667
17/01/2020,7.716666667
18/01/2020,7.595833333
19/01/2020,6.725
20/01/2020,6.433333333
21/01/2020,8.158333333
22/01/2020,7.391666667
23/01/2020,6.566666667
24/01/2020,6.991666667
25/01/2020,5.125
26/01/2020,6.433333333
27/01/2020,10.61666667
28/01/2020,10.63333333
29/01/2020,6.966666667
30/01/2020,7
31/01/2020,10.3125
01/02/2020,7.016666667
02/02/2020,8.116666667
03/02/2020,8.629166667
04/02/2020,8.883333333
05/02/2020,8.433333333
06/02/2020,8.591666667
07/02/2020,10.66666667
08/02/2020,8.366666667
09/02/2020,7.683333333
10/02/2020,9.695833333
11/02/2020,10.05833333
12/02/2020,11.53333333
13/02/2020,10.675
14/02/2020,9.216666667
15/02/2020,10.28333333
16/02/2020,6.879166667
17/02/2020,7.866666667
18/02/2020,8.325
19/02/2020,9.1
20/02/2020,9.183333333
21/02/2020,7.108333333
22/02/2020,7.658333333
23/02/2020,7.108333333
24/02/2020,9.283333333
25/02/2020,8.95
26/02/2020,8.666666667
27/02/2020,7.883333333
28/02/2020,7.25
29/02/2020,8.333333333
01/03/2020,5.05
02/03/2020,8.95
03/03/2020,7.683333333
04/03/2020,6.983333333
05/03/2020,6.983333333
06/03/2020,8.975
07/03/2020,6.3
08/03/2020,6.575
09/03/2020,8.058333333
10/03/2020,10.60833333
11/03/2020,10.375
12/03/2020,12.24166667
13/03/2020,14.21666667
14/03/2020,13.76666667
15/03/2020,12.68333333
