date,BCHAIN.AVBLS,BCHAIN.HRATE,BCHAIN.MIREV,BCHAIN.MKTCP,BCHAIN.NADDU,BCHAIN.TOTBC,BCHAIN.TOUTV
2013-10-16,0.109832754963,2914.66937941,781625.13,1681142901.75,74562,11853225,1024516.32083
2013-10-17,0.117371548487,2382.30967541,646991.62,1699564141,68607,11857700,912009.374284
2013-10-18,0.151048489389,2302.45571981,658078.3,1786302344.75,69519,11862025,880504.604239
2013-10-19,0.121236191493,2914.66937941,909425.5,1958730875,75457,11867500,1066912.82451
2013-10-20,0.111199979429,2874.74240161,899308.17,1967458259,64030,11872900,691056.481641
2013-10-21,0.134416305011,2675.10751261,896151.27,2103224179.75,73341,11877925,979061.385123
2013-10-22,0.127491184985,3313.93915741,1201693.48,2279142287,89356,11884150,1235490.63415
2013-10-23,0.127253075912,2808.19743861,1061934.45,2377290528.75,87179,11889425,1096234.37435
2013-10-24,0.156337947937,2781.57945341,1032543.72,2328734577,88605,11894650,1068753.62645
2013-10-25,0.123490607738,3194.15822401,1044809.26,2056551326.5,82770,11900650,2883479.39751
2013-10-26,0.120308626836,3867.20191246,903581.88,2139559868.75,67249,11905625,702233.658709
2013-10-27,0.11322228922,3439.67205279,844909.14,2251714053,54418,11910050,505512.469046
