date,open,high,low,close,volume_btc,volume_currency,weighted_price
2019-12-27,7195.17,7255.37,7052,7246,4024.57086599,28884846.428249,7177.1245655886
2019-12-28,7247.7,7349.65,7231,7296.24,1579.70272647,11528551.508845,7297.924676377
2019-12-29,7297.43,7524.46,7274.43,7385.54,2583.85134193,19120178.738293,7399.8756925431
2019-12-30,7372.79,7384.9,7199,7220.24,3722.91334933,27106970.229285,7281.1176854716005
2019-12-31,7222.74,7302.35,7112.55,7168.36,2638.69130899,18984547.326849,7194.6829332285
2020-01-01,7160.69,7237.35,7150,7178.68,1119.10969318,8052270.9317064,7195.2472405324
2020-01-02,7174.7,7184.94,6900,6950.56,3972.70795427,27928978.288664,7030.2117875653
2020-01-03,6945.7,7402.31,6853.53,7338.91,8072.72908749,58367332.830995,7230.1860001031
2020-01-04,7332.58,7396.1,7256.03,7344.48,3256.73735349,23825437.635367,7315.7381297069
2020-01-05,7356.05,7495,7310,7356.7,2707.27385549,20108463.477244,7427.5690419963
2020-01-06,7352.12,7817,7342.46,7762.74,6728.28277831,51148366.697809,7601.994206114
2020-01-07,7768.17,8220,7697.03,8159.01,12158.32281238,96360835.322534,7925.5039374688
2020-01-08,8151.79,8463.57,7872.09,8044.44,11913.23248192,97929528.566535,8220.2314707748
2020-01-09,8048.94,8048.94,7737.97,7806.78,5957.24423978,47018267.79743,7892.6204642512
2020-01-10,7812.7,8200,7667,8200,8999.98825687,71487988.314873,7943.1201768851
2020-01-11,8200,8286,8000,8016.22,3788.3273136,30769860.951718,8122.2815254784
2020-01-12,8008.1,8190,7960,8180.76,2056.08675369,16671798.24334,8108.5091440913
2020-01-13,8180.75,8196.81,8039,8105.01,4011.43909644,32494162.70513,8100.3754323398
2020-01-14,8105.01,8895,8105.01,8813.04,17009.43193382,146225207.41882,8596.71316407
2020-01-15,8813.2,8903.2,8555,8809.17,8606.88339936,75401269.552589,8760.5775579806
2020-01-16,8810.62,8852.35,8573.91,8710.15,6713.2584764,58128480.463495,8658.757988813
2020-01-17,8715.39,9015.22,8661.52,8892.63,9363.15892644,83202108.279141,8886.1151383634
2020-01-18,8898.03,9000.1,8798.9,8908.53,3678.00926615,32722278.87199,8896.7363875738
2020-01-19,8901.02,9188.1,8461.38,8696.6,8785.449927,77156049.635275,8782.2536439659
